symbol,stock,side,qty,cost basis,amount,fee,created date,transaction date
AXON,Axon,sell,0.778095,179.93,140,0,11/24/2021,11/24/2021
NET,Cloudflare,buy,0.050572,197.74,10,0,11/24/2021,11/24/2021
SOFI,SoFi Technologies,buy,0.541565,18.47,10,0,11/24/2021,11/24/2021
MTTR,Matterport,buy,0.35346,28.29,10,0,11/24/2021,11/24/2021
AFRM,Affirm,buy,0.187413,133.4,25,0,11/24/2021,11/24/2021
LC,Lending Club,buy,0.260994,38.32,10,0,11/24/2021,11/24/2021
CFLT,Confluent,buy,0.125439,79.72,10,0,11/24/2021,11/24/2021
MTTR,Matterport,buy,0.353731,28.27,10,0,11/24/2021,11/24/2021
SOFI,SoFi Technologies,buy,0.540394,18.51,10,0,11/24/2021,11/24/2021
DOCS,Doximity,buy,0.16668,60,10,0,11/24/2021,11/24/2021
MSFT,Microsoft,sell,0.296757,336.98,100,0,11/24/2021,11/24/2021
FB,Meta Platforms,buy,0.146606,341.05,50,0,11/24/2021,11/24/2021
UPWK,Upwork,buy,1,38.11,38.11,0,11/24/2021,11/24/2021
ETSY,Etsy,buy,0.081953,305.05,25,0,11/25/2021,11/26/2021
SI,Silvergate Capital,buy,0.124977,200.04,25,0,11/25/2021,11/26/2021
AXON,Axon,sell,0.790125,179.53,141.85,0,11/29/2021,11/29/2021
PUBM,PubMatic,buy,1.199616,41.68,50,0,11/30/2021,11/30/2021
UPWK,Upwork,buy,0.524658,38.12,20,0,11/30/2021,11/30/2021
CFLT,Confluent,buy,0.588131,85.02,50,0,11/30/2021,11/30/2021
MTTR,Matterport,buy,0.739207,33.82,25,0,11/30/2021,11/30/2021
U,Unity Software,sell,0.292971,170.67,50,0,11/30/2021,11/30/2021
MTTR,Matterport,buy,0.87822,34.16,30,0,11/30/2021,11/30/2021
BLK,BlackRock,sell,0.010729,918.07,9.85,0,11/30/2021,11/30/2021
KEY,KeyBank,buy,1.107419,22.58,25,0,11/30/2021,11/30/2021
DMTK,DermTech,sell,0.605275,19.26,11.66,0,11/30/2021,11/30/2021
CRMT,America's Car-Mart,sell,0.122906,97.8,12.02,0,11/30/2021,11/30/2021
LC,Lending Club,buy,0.151768,32.95,5,0,11/30/2021,11/30/2021
SI,Silvergate Capital,buy,0.024562,203.57,5,0,11/30/2021,11/30/2021
SI,Silvergate Capital,buy,0.048958,204.26,10,0,11/30/2021,11/30/2021
SI,Silvergate Capital,buy,0.121524,205.72,25,0,11/30/2021,11/30/2021
MTTR,Matterport,buy,0.762892,32.77,25,0,11/30/2021,11/30/2021
CFLT,Confluent,buy,0.318207,78.57,25,0,11/30/2021,11/30/2021
SOFI,SoFi Technologies,buy,1.413627,17.69,25,0,11/30/2021,11/30/2021
AFRM,Affirm,buy,0.079117,126.4,10,0,11/30/2021,11/30/2021
COIN,Coinbase,buy,0.031379,318.68,10,0,11/30/2021,11/30/2021
LUV,Southwest Airlines,sell,1.12956,44.27,50,0,11/30/2021,11/30/2021
BX,Blackstone,buy,0.104193,143.96,15,0,12/1/2021,12/1/2021
BASE,Couchbase,buy,1.471343,33.98,50,0,12/1/2021,12/1/2021
PUBM,PubMatic,buy,0.373945,40.11,15,0,12/1/2021,12/1/2021
AFRM,Affirm,buy,0.195881,127.63,25,0,12/1/2021,12/1/2021
CFLT,Confluent,buy,0.619809,80.67,50,0,12/1/2021,12/1/2021
COIN,Coinbase,buy,0.062766,318.64,20,0,12/1/2021,12/1/2021
MTTR,Matterport,buy,0.751201,33.28,25,0,12/1/2021,12/1/2021
ZTS,Zoetis,buy,0.000136,220.59,0.03,0,12/1/2021,12/2/2021
ATVI,Activision Blizzard,sell,0.871492,57.37,50,0,12/3/2021,12/3/2021
BLIN,Bridgeline Digital,sell,10.319911,2.42,24.99,0,12/3/2021,12/3/2021
DIS,Disney,sell,0.390032,146.24,57.04,0,12/3/2021,12/3/2021
UBS,UBS,buy,1.40845,17.75,25,0,12/6/2021,12/6/2021
PAC,Grupo Aeroportuario del Pacific,buy,0.166763,119.93,20,0,12/6/2021,12/6/2021
ACN,Accenture,buy,0.069067,361.97,25,0,12/6/2021,12/6/2021
MRVL,Marvell Technology,buy,0.239639,83.46,20,0,12/6/2021,12/6/2021
COST,Costco,buy,0.04697,532.25,25,0,12/6/2021,12/6/2021
F,Ford Motor,buy,0.777806,19.29,15,0,12/6/2021,12/6/2021
RKT,Rocket Companies,sell,4.034393,16.07,64.85,0,12/6/2021,12/6/2021
ROKU,Roku,sell,0.869044,208.45,181.15,0,12/6/2021,12/6/2021
XOS,Xos,sell,3,3.5,10.49,0,12/6/2021,12/6/2021
DOCU,DocuSign,sell,0.601784,141.84,85.36,0,12/6/2021,12/6/2021
APPH,AppHarvest,sell,22.586224,5.06,114.29,0,12/6/2021,12/6/2021
ATVI,Activision Blizzard,sell,1.128508,58.04,65.5,0,12/6/2021,12/6/2021
MELI,MercadoLibre,sell,0.641586,1104.92,708.9,0.01,12/6/2021,12/6/2021
UPST,Upstart,sell,0.048211,175.69,8.47,0,12/6/2021,12/6/2021
CRWD,CrowdStrike Holdings,sell,1.158137,195.52,226.44,0,12/6/2021,12/6/2021
UPWK,Upwork,sell,3.524658,36.02,126.95,0,12/6/2021,12/6/2021
LMND,Lemonade,sell,4.501239,44.56,200.58,0,12/6/2021,12/6/2021
ZG,Zillow Class A,sell,1,60.42,60.42,0,12/6/2021,12/6/2021
PLTR,Palantir Technologies,sell,14.068869,18.85,265.13,0,12/6/2021,12/6/2021
SE,Sea Limited,sell,1.303261,246.81,321.66,0,12/6/2021,12/6/2021
SYNA,Synaptics,buy,0.354949,281.73,100,0,12/6/2021,12/6/2021
ZI,ZoomInfo Technologies,buy,0.83257,60.06,50,0,12/6/2021,12/6/2021
QRVO,Qorvo,buy,0.327223,152.8,50,0,12/6/2021,12/6/2021
AMTB,Amerant Bancorp,buy,1.625417,30.76,50,0,12/6/2021,12/6/2021
BX,Blackstone,buy,0.74074,135,100,0,12/6/2021,12/6/2021
DOCS,Doximity,buy,0.833377,60,50,0,12/6/2021,12/7/2021
BX,Blackstone,buy,1.450852,137.85,200,0,12/7/2021,12/7/2021
PAC,Grupo Aeroportuario del Pacific,buy,1.250625,119.94,150,0,12/7/2021,12/7/2021
ZS,Zscaler,buy,0.34965,286,100,0,12/7/2021,12/7/2021
LCID,Lucid Group,buy,1.076194,46.46,50,0,12/7/2021,12/7/2021
MTTR,Matterport,buy,3.892565,25.69,100,0,12/7/2021,12/7/2021
PI,Impinj,buy,2.586318,77.33,200,0,12/7/2021,12/7/2021
AMTB,Amerant Bancorp,buy,4.820051,31.12,150,0,12/7/2021,12/7/2021
ZI,ZoomInfo Technologies,buy,1.607941,62.19,100,0,12/7/2021,12/7/2021
NVDA,NVIDIA,buy,0.161446,309.7,50,0,12/7/2021,12/7/2021
AFRM,Affirm,buy,0.429969,116.29,50,0,12/7/2021,12/7/2021
COST,Costco,buy,0.185787,538.25,100,0,12/7/2021,12/7/2021
CFLT,Confluent,buy,1.396978,71.58,100,0,12/7/2021,12/7/2021
MRVL,Marvell Technology,buy,0.571167,87.54,50,0,12/7/2021,12/7/2021
SI,Silvergate Capital,buy,0.317198,157.63,50,0,12/7/2021,12/7/2021
NET,Cloudflare,buy,0.637999,156.74,100,0,12/7/2021,12/7/2021
ESTC,Elastic N.V.,buy,1.70984,116.97,200,0,12/7/2021,12/7/2021
SNOW,Snowflake,buy,0.13657,366.11,50,0,12/7/2021,12/7/2021
V,Visa,buy,0.00183,207.65,0.38,0,12/7/2021,12/8/2021
ZTS,Zoetis,buy,0.217684,229.69,50,0,12/8/2021,12/8/2021
LC,Lending Club,buy,0.315258,31.72,10,0,12/8/2021,12/8/2021
TSCO,Tractor Supply,buy,0.002077,235.92,0.49,0,12/8/2021,12/9/2021
ACN,Accenture,buy,0.053636,372.88,20,0,12/8/2021,12/9/2021
SPLK,Splunk,buy,0.169117,118.26,20,0,12/8/2021,12/9/2021
UBS,UBS,buy,2.788622,17.93,50,0,12/9/2021,12/9/2021
MRVL,Marvell Technology,buy,0.273268,91.49,25,0,12/9/2021,12/9/2021
KEY,KeyBank,buy,1.079214,23.17,25,0,12/9/2021,12/9/2021
LULU,Lululemon,buy,0.048225,414.72,20,0,12/9/2021,12/9/2021
MSFT,Microsoft,buy,0.001103,335.45,0.37,0,12/9/2021,12/10/2021
S,SentinelOne,buy,0.522012,47.89,25,0,12/10/2021,12/10/2021
TWLO,Twilio,sell,0.416127,264.34,110,0,12/12/2021,12/13/2021
BLND,Blend Labs,sell,6.57438,8.14,53.5,0,12/12/2021,12/13/2021
KEY,KeyBank,buy,2.182426,22.91,50,0,12/12/2021,12/13/2021
TOST,Toast,sell,2.028128,36.98,75,0,12/12/2021,12/13/2021
PUBM,PubMatic,buy,0.65277,38.3,25,0,12/12/2021,12/13/2021
PYPL,PayPal,sell,0.960886,187.33,180,0,12/12/2021,12/13/2021
AXON,Axon,buy,0.352924,141.67,50,0,12/12/2021,12/13/2021
NVEE,NV5 Global,buy,0.200946,124.41,25,0,12/12/2021,12/13/2021
TGT,Target,buy,0.006391,237.83,1.52,0,12/10/2021,12/13/2021
AMZN,Amazon,sell,0.04654,3437.9,160,0,12/12/2021,12/13/2021
S,SentinelOne,buy,1.515109,49.5,75,0,12/12/2021,12/13/2021
AFRM,Affirm,sell,0.878627,113.81,100,0,12/12/2021,12/13/2021
ACN,Accenture,buy,0.197659,379.44,75,0,12/12/2021,12/13/2021
ZTS,Zoetis,buy,0.108695,230,25,0,12/13/2021,12/14/2021
ACN,Accenture,buy,0.133554,374.38,50,0,12/13/2021,12/14/2021
V,Visa,buy,0.236966,211,50,0,12/13/2021,12/14/2021
LC,Lending Club,sell,1.004722,26.08,26.2,0,12/14/2021,12/14/2021
TQQQ,ProShares UltraPro QQQ,buy,0.162144,154.18,25,0,12/14/2021,12/14/2021
MKC,McCormick,buy,0.536135,93.26,50,0,12/13/2021,12/14/2021
MELI,MercadoLibre,buy,0.086396,1157.46,100,0,12/14/2021,12/14/2021
TSCO,Tractor Supply,buy,0.042936,232.9,10,0,12/14/2021,12/14/2021
PI,Impinj,buy,0.618658,80.82,50,0,12/13/2021,12/14/2021
ZI,ZoomInfo Technologies,buy,0.832431,60.07,50,0,12/13/2021,12/14/2021
ZS,Zscaler,buy,0.175342,285.16,50,0,12/13/2021,12/14/2021
SOFI,SoFi Technologies,sell,3.924157,14.31,56.15,0,12/13/2021,12/14/2021
CRM,Salesforce,buy,0.190839,262,50,0,12/13/2021,12/14/2021
AXON,Axon,buy,0.209716,143.05,30,0,12/14/2021,12/14/2021
ETSY,Etsy,buy,0.235077,212.7,50,0,12/13/2021,12/14/2021
SYNA,Synaptics,buy,0.1819,274.88,50,0,12/13/2021,12/14/2021
LITE,Lumentum,buy,0.505254,98.96,50,0,12/13/2021,12/14/2021
MRVL,Marvell Technology,buy,0.881976,85.04,75,0,12/13/2021,12/14/2021
VRSN,VeriSign,buy,0.310366,241.65,75,0,12/13/2021,12/14/2021
SI,Silvergate Capital,sell,0.637219,135.06,86.06,0,12/14/2021,12/14/2021
NET,Cloudflare,buy,0.223813,134.04,30,0,12/14/2021,12/14/2021
PINS,Pinterest,sell,4.543198,35.33,160.49,0,12/15/2021,12/15/2021
LUV,Southwest Airlines,sell,2.382542,40,95.3,0,12/15/2021,12/15/2021
PI,Impinj,buy,0.602428,83,50,0,12/14/2021,12/15/2021
BASE,Couchbase,sell,1.471343,22.16,32.6,0,12/15/2021,12/15/2021
AXON,Axon,buy,0.344997,144.93,50,0,12/14/2021,12/15/2021
VRSN,VeriSign,buy,0.104672,238.84,25,0,12/14/2021,12/15/2021
AMZN,Amazon,sell,0.020759,3372.03,70,0,12/15/2021,12/15/2021
ZI,ZoomInfo Technologies,buy,0.413247,60.5,25,0,12/14/2021,12/15/2021
F,Ford Motor,buy,2.5,20,50,0,12/15/2021,12/15/2021
EOG,EOG Resources,sell,0.802743,85.82,68.89,0,12/16/2021,12/16/2021
DOCS,Doximity,sell,0.752668,53.14,40,0,12/16/2021,12/16/2021
PAYC,Paycom,buy,0.179928,416.83,75,0,12/16/2021,12/16/2021
BILL,Bill.com,buy,0.299222,250.65,75,0,12/16/2021,12/16/2021
CRM,Salesforce,buy,0.096153,260,25,0,12/16/2021,12/16/2021
S,SentinelOne,buy,0.499919,50.01,25,0,12/16/2021,12/16/2021
TQQQ,ProShares UltraPro QQQ,buy,0.299085,167.18,50,0,12/16/2021,12/16/2021
GDYN,Grid Dynamics,buy,0.645187,38.75,25,0,12/16/2021,12/16/2021
AXON,Axon,buy,0.168748,148.15,25,0,12/16/2021,12/16/2021
ZI,ZoomInfo Technologies,buy,0.380923,65.63,25,0,12/16/2021,12/16/2021
V,Visa,sell,0.347825,215.63,75,0,12/16/2021,12/16/2021
CRWD,CrowdStrike Holdings,buy,0.118132,211.63,25,0,12/16/2021,12/16/2021
VRSN,VeriSign,buy,0.102999,242.72,25,0,12/16/2021,12/16/2021
MELI,MercadoLibre,buy,0.020298,1231.65,25,0,12/16/2021,12/16/2021
DLO,DLocal,buy,0.719919,34.73,25,0,12/16/2021,12/16/2021
COIN,Coinbase,sell,0.12663,265.02,33.56,0,12/16/2021,12/16/2021
F,Ford Motor,buy,1.213592,20.6,25,0,12/16/2021,12/16/2021
SOFI,SoFi Technologies,buy,1.630903,15.33,25,0,12/16/2021,12/16/2021
ACN,Accenture,buy,0.06052,413.09,25,0,12/16/2021,12/16/2021
RBLX,Roblox,buy,0.245098,102,25,0,12/16/2021,12/16/2021
MKC,McCormick,buy,0.264047,94.68,25,0,12/16/2021,12/16/2021
MKL,Markel,buy,0.020281,1232.68,25,0,12/17/2021,12/17/2021
ABCB,Ameris Bank,buy,0.5124,48.79,25,0,12/17/2021,12/17/2021
BKNG,Booking Holdings,buy,0.011614,2152.57,25,0,12/17/2021,12/17/2021
OM,Outset Medical,buy,0.565994,44.17,25,0,12/17/2021,12/17/2021
U,Unity Software,buy,0.191962,130.23,25,0,12/17/2021,12/17/2021
BKNG,Booking Holdings,buy,0.022666,2205.95,50,0,12/17/2021,12/17/2021
OM,Outset Medical,buy,0.557662,44.83,25,0,12/17/2021,12/17/2021
MTTR,Matterport,sell,4.014706,22.42,90,0,12/17/2021,12/17/2021
DOCS,Doximity,sell,0.911311,49.7,45.29,0,12/17/2021,12/17/2021
TOST,Toast,sell,3.705912,33.73,125,0,12/17/2021,12/17/2021
QDEL,Quidel,buy,0.152648,163.78,25,0,12/17/2021,12/17/2021
MELI,MercadoLibre,buy,0.020869,1197.95,25,0,12/17/2021,12/17/2021
AFRM,Affirm,sell,0.414843,97.02,40.25,0,12/17/2021,12/17/2021
CFLT,Confluent,sell,2.374621,63.17,150,0,12/17/2021,12/17/2021
ENB,Enbridge,sell,1.237404,36.93,45.7,0,12/17/2021,12/17/2021
BX,Blackstone,sell,1.465499,122.83,180,0,12/17/2021,12/17/2021
TSLA,Tesla,buy,0.053141,940.89,50,0,12/17/2021,12/17/2021
BLK,BlackRock,buy,0.05469,914.24,50,0,12/17/2021,12/17/2021
QRVO,Qorvo,sell,0.724132,147.8,107.03,0,12/17/2021,12/17/2021
MQ,Marqeta,buy,3.134923,15.95,50,0,12/17/2021,12/20/2021
MITK,Mitek,sell,4.480405,16.29,73,0,12/20/2021,12/20/2021
TDOC,Teladoc Health,sell,0.647147,95.81,62,0,12/20/2021,12/20/2021
TTD,Trade Desk,buy,0.851091,88.12,75,0,12/20/2021,12/20/2021
TSCO,Tractor Supply,buy,0.340947,219.98,75,0,12/20/2021,12/20/2021
ACN,Accenture,buy,0.129015,387.55,50,0,12/20/2021,12/20/2021
ZI,ZoomInfo Technologies,buy,1.626114,61.5,100,0,12/20/2021,12/20/2021
NET,Cloudflare,buy,0.379598,131.72,50,0,12/20/2021,12/20/2021
COST,Costco,buy,0.138065,543.22,75,0,12/20/2021,12/20/2021
LULU,Lululemon,buy,0.135639,368.63,50,0,12/20/2021,12/20/2021
PI,Impinj,buy,0.610574,81.89,50,0,12/20/2021,12/20/2021
AMTB,Amerant Bancorp,buy,1.46959,34.02,50,0,12/20/2021,12/20/2021
CRM,Salesforce,buy,0.200674,249.16,50,0,12/20/2021,12/20/2021
VRSN,VeriSign,buy,0.102421,244.09,25,0,12/20/2021,12/20/2021
CRWD,CrowdStrike Holdings,buy,0.240859,207.59,50,0,12/20/2021,12/20/2021
TQQQ,ProShares UltraPro QQQ,sell,0.461229,143.33,66.11,0,12/20/2021,12/20/2021
QLD,ProShares Ultra QQQ,buy,0.308908,80.93,25,0,12/20/2021,12/20/2021
QQQ,Invesco QQQ,buy,0.105547,378.98,40,0,12/20/2021,12/20/2021
MQ,Marqeta,buy,1.150315,17.39,20,0,12/21/2021,12/21/2021
EPAM,EPAM Systems,buy,0.001493,669.79,1,0,12/23/2021,12/27/2021
PAC,Grupo Aeroportuario del Pacific,sell,0.72998,136.99,100,0,12/28/2021,12/28/2021
EPAM,EPAM Systems,buy,0.028681,697.33,20,0,12/28/2021,12/28/2021
TSLA,Tesla,sell,0.053141,1108.75,58.92,0,12/28/2021,12/28/2021
DAL,Delta Air Lines,sell,2.426889,38.59,93.65,0,12/28/2021,12/28/2021
CRWD,CrowdStrike Holdings,buy,0.120807,206.94,25,0,12/28/2021,12/28/2021
SOFI,SoFi Technologies,buy,1.666111,15.01,25,0,12/28/2021,12/28/2021
BKNG,Booking Holdings,buy,0.020863,2396.59,50,0,12/28/2021,12/28/2021
MKL,Markel,buy,0.020286,1232.38,25,0,12/28/2021,12/28/2021
EPAM,EPAM Systems,buy,0.116871,684.52,80,0,12/28/2021,12/28/2021
QLD,ProShares Ultra QQQ,sell,0.308908,91.35,28.22,0,12/28/2021,12/28/2021
TQQQ,ProShares UltraPro QQQ,buy,0.174428,171.99,30,0,12/28/2021,12/28/2021
MTTR,Matterport,sell,3.419068,17.55,60,0,1/5/2022,1/5/2022
F,Ford Motor,buy,0.406091,24.63,10,0,1/5/2022,1/5/2022
ABCB,Ameris Bank,buy,0.468048,53.41,25,0,1/5/2022,1/5/2022
MKL,Markel,buy,0.020123,1242.36,25,0,1/5/2022,1/5/2022
TQQQ,ProShares UltraPro QQQ,sell,0.174428,149.69,26.11,0,1/6/2022,1/6/2022
OKTA,Okta,buy,0.123505,202.42,25,0,1/6/2022,1/6/2022
DLO,DLocal,sell,0.719919,28.86,20.78,0,1/6/2022,1/6/2022
QDEL,Quidel,sell,0.290298,127.46,37,0,1/6/2022,1/6/2022
ACN,Accenture,sell,0.132011,378.76,50,0,1/6/2022,1/6/2022
ABCB,Ameris Bank,buy,0.461808,54.14,25,0,1/6/2022,1/6/2022
OKTA,Okta,buy,0.137646,217.95,30,0,1/12/2022,1/12/2022
ABCB,Ameris Bank,buy,0.516556,54.21,28,0,1/12/2022,1/13/2022
DDOG,Datadog,buy,0.215796,139.02,30,0,1/13/2022,1/13/2022
MTTR,Matterport,sell,1.26913,14.27,18.11,0,1/13/2022,1/13/2022
CFLT,Confluent,buy,0.287726,66.04,19,0,1/13/2022,1/13/2022
MITK,Mitek,sell,2.40084,16.66,40,0,1/13/2022,1/13/2022
CFLT,Confluent,buy,0.375939,66.5,25,0,1/13/2022,1/13/2022
QQQ,Invesco QQQ,sell,0.105547,381.82,40.3,0,1/13/2022,1/13/2022
TQQQ,ProShares UltraPro QQQ,buy,0.548095,72.98,40,0,1/13/2022,1/13/2022
T,AT&T,buy,0.555864,26.99,15,0,1/13/2022,1/13/2022
TQQQ,ProShares UltraPro QQQ,sell,0.548095,68.56,37.58,0,1/18/2022,1/18/2022
