symbol,stock,side,qty,cost basis,amount,fee,created date,transaction date
AAPL,Apple,buy,0.114491,174.69,20,0,2/2/2022,2/2/2022
T,AT&T,sell,0.555864,24.21,13.46,0,2/2/2022,2/2/2022
ETSY,Etsy,sell,0.237619,147.29,35,0,2/2/2022,2/2/2022
CRNC,Cerence,buy,1.153749,43.34,50,0,2/7/2022,2/7/2022
EGP,EastGroup Properties,buy,0.08641,196.74,17,0,2/8/2022,2/8/2022
TOST,Toast,sell,0.958402,24.3,23.29,0,2/8/2022,2/8/2022
EGP,EastGroup Properties,buy,0.076289,196.62,15,0,2/8/2022,2/8/2022
BKNG,Booking Holdings,sell,0.055143,2594.89,143.09,0,2/22/2022,2/22/2022
KEY,KeyBank,sell,4.369059,25.66,112.1,0,2/22/2022,2/22/2022
CFLT,Confluent,sell,1.676143,45.27,75.88,0,2/22/2022,2/22/2022
QDEL,Quidel,buy,0.196734,101.66,20,0,2/22/2022,2/22/2022
PYPL,PayPal,sell,1.833961,104.87,192.33,0,2/24/2022,2/24/2022
NET,Cloudflare,sell,1,107.4,107.4,0,2/24/2022,2/24/2022
ESTC,Elastic N.V.,sell,2,80.96,161.92,0,2/24/2022,2/24/2022
ZI,ZoomInfo Technologies,sell,5,51.86,259.3,0,2/24/2022,2/24/2022
ZS,Zscaler,sell,1,218.89,218.89,0,2/24/2022,2/24/2022
S,SentinelOne,sell,2,38.31,76.62,0,2/24/2022,2/24/2022
PUBM,PubMatic,sell,2,28.29,56.58,0,2/24/2022,2/24/2022
MQ,Marqeta,sell,4,9.85,39.4,0,2/24/2022,2/24/2022
RBLX,Roblox,sell,1,49.25,49.25,0,2/24/2022,2/24/2022
OM,Outset Medical,sell,1,42.47,42.47,0,2/24/2022,2/24/2022
TWLO,Twilio,sell,1,164,164,0,2/24/2022,2/24/2022
PI,Impinj,sell,2,65.94,131.88,0,2/24/2022,2/24/2022
TTD,Trade Desk,sell,1,81.78,81.78,0,2/24/2022,2/24/2022
LULU,Lululemon,sell,0.577147,310.16,179.01,0,2/24/2022,2/25/2022
SHOP,Shopify,sell,0.138038,676.41,93.37,0,2/24/2022,2/25/2022
COST,Costco,buy,0.186844,535.21,100,0,3/3/2022,3/3/2022
AAPL,Apple,buy,0.597853,167.27,100,0,3/3/2022,3/3/2022
NVDA,NVIDIA,buy,0.20952,238.64,50,0,3/3/2022,3/3/2022
TTD,Trade Desk,buy,0.6595,75.82,50,0,3/4/2022,3/4/2022
TSLA,Tesla,buy,0.118596,843.2,100,0,3/4/2022,3/4/2022
SYNA,Synaptics,buy,0.231288,216.18,50,0,3/4/2022,3/4/2022
TTD,Trade Desk,buy,1.504551,66.47,100,0,3/7/2022,3/7/2022
AAPL,Apple,buy,1.249805,160.04,200.02,0,3/7/2022,3/7/2022
NVEE,NV5 Global,sell,1,124.7,124.7,0,3/9/2022,3/9/2022
NVEE,NV5 Global,sell,0.39234,124.76,48.95,0,3/9/2022,3/9/2022
CRWD,CrowdStrike Holdings,buy,0.721986,207.76,150,0,3/18/2022,3/18/2022
SOFI,SoFi Technologies,sell,3.297014,9.85,32.48,0,3/18/2022,3/18/2022
LCID,Lucid Group,sell,1.269712,25.65,32.57,0,3/18/2022,3/18/2022
ESTC,Elastic N.V.,sell,0.179381,85.52,15.34,0,3/18/2022,3/21/2022
S,SentinelOne,sell,0.53704,39.27,21.09,0,3/18/2022,3/21/2022
ZS,Zscaler,sell,0.585121,220.11,128.79,0,3/18/2022,3/21/2022
MQ,Marqeta,sell,0.285238,11.53,3.29,0,3/18/2022,3/21/2022
PUBM,PubMatic,sell,0.480267,23.72,11.39,0,3/18/2022,3/21/2022
TWLO,Twilio,sell,0.288082,158.39,45.63,0,3/18/2022,3/21/2022
RBLX,Roblox,sell,0.551176,48.61,26.79,0,3/18/2022,3/21/2022
XOM,Exxon Mobil,buy,1.220032,81.97,100,0,3/21/2022,3/21/2022
DVN,Devon Energy,buy,1.632399,61.26,100,0,3/21/2022,3/21/2022
FANG,Diamondback Energy,buy,0.715486,139.77,100,0,3/21/2022,3/21/2022
AMD,AMD,buy,0.866314,115.43,100,0,3/21/2022,3/22/2022
AAPL,Apple,buy,0.302151,165.48,50,0,3/22/2022,3/22/2022
NVDA,NVIDIA,buy,0.18704,267.32,50,0,3/22/2022,3/22/2022
AMZN,Amazon,buy,0.015119,3307.1,50,0,3/22/2022,3/22/2022
MKL,Markel,sell,0.06069,1461.86,88.72,0,3/22/2022,3/22/2022
OM,Outset Medical,sell,0.123656,41.41,5.12,0,3/22/2022,3/22/2022
EPAM,EPAM Systems,sell,0.147045,290.73,42.75,0,3/22/2022,3/22/2022
CRNC,Cerence,sell,1.153749,35.92,41.44,0,3/22/2022,3/22/2022
OKTA,Okta,sell,0.261151,163.77,42.77,0,3/22/2022,3/22/2022
EGP,EastGroup Properties,sell,0.162699,194.78,31.69,0,3/22/2022,3/22/2022
NVDA,NVIDIA,buy,0.191386,261.25,50,0,3/23/2022,3/23/2022
NET,Cloudflare,buy,0.415523,120.33,50,0,3/23/2022,3/23/2022
INTC,Intel,buy,2.046257,48.87,100,0,3/23/2022,3/23/2022
XOM,Exxon Mobil,buy,1.200552,83.3,100,0,3/23/2022,3/23/2022
INTC,Intel,sell,2,48.48,96.96,0,3/23/2022,3/23/2022
TSLA,Tesla,sell,0.118596,1011.25,119.93,0,3/24/2022,3/24/2022
INTC,Intel,buy,1.005732,49.72,50,0,3/24/2022,3/24/2022
NVDA,NVIDIA,buy,0.371402,269.25,100,0,3/24/2022,3/24/2022
MTDR,Matador Resources,buy,2.692219,55.72,150,0,3/25/2022,3/25/2022
PAC,Grupo Aeroportuario del Pacific,sell,0.687408,151.05,103.83,0,3/25/2022,3/25/2022
T,AT&T,buy,4.166666,24,100,0,3/25/2022,3/28/2022
ACLS,Axcelis Technologies,buy,1,79.45,79.45,0,3/28/2022,3/28/2022
GDYN,Grid Dynamics,sell,0.645187,14.01,9.04,0,3/31/2022,3/31/2022
SYNA,Synaptics,sell,1,200,200,0,3/31/2022,3/31/2022
ABCB,Ameris Bank,sell,1.958812,43.92,86.04,0,3/31/2022,3/31/2022
PCOR,Procore Technologies,sell,1.136381,58.13,66.06,0,3/31/2022,3/31/2022
FB,Meta Platforms,sell,0.146606,222.98,32.69,0,3/31/2022,3/31/2022
TTD,Trade Desk,sell,2,73.8,147.6,0,4/1/2022,4/1/2022
TTD,Trade Desk,sell,1,73.7,73.7,0,4/1/2022,4/1/2022
TTD,Trade Desk,sell,1,73.75,73.75,0,4/1/2022,4/1/2022
TTD,Trade Desk,sell,0.015142,73.97,1.12,0,4/1/2022,4/1/2022
MELI,MercadoLibre,sell,0.127563,1230.84,157.01,0,4/1/2022,4/1/2022
NET,Cloudflare,sell,1,124.39,124.39,0,4/1/2022,4/1/2022
NET,Cloudflare,sell,0.241562,124.36,30.04,0,4/1/2022,4/1/2022
SNOW,Snowflake,sell,0.588155,239.97,141.14,0,4/1/2022,4/1/2022
F,Ford Motor,sell,4.897489,16.46,80.62,0,4/1/2022,4/1/2022
SE,Sea Limited,buy,0.373747,133.78,50,0,4/4/2022,4/4/2022
AAPL,Apple,buy,0.564063,177.29,100,0,4/4/2022,4/4/2022
SE,Sea Limited,buy,1,132,132,0,4/4/2022,4/4/2022
ACLS,Axcelis Technologies,sell,1,69.69,69.69,0,4/5/2022,4/5/2022
SE,Sea Limited,buy,1,128.5,128.5,0,4/4/2022,4/5/2022
AMZN,Amazon,buy,0.111016,3152.7,350,0,4/7/2022,4/7/2022
GOOG,Alphabet Class C,buy,0.146543,2729.57,400,0,4/7/2022,4/7/2022
MSFT,Microsoft,buy,0.663878,301.26,200,0,4/7/2022,4/7/2022
SE,Sea Limited,sell,2.373747,110.6,262.53,0,4/11/2022,4/11/2022
ETSY,Etsy,sell,0.846754,114.09,96.61,0,4/11/2022,4/11/2022
TDOC,Teladoc Health,sell,0.5188,64.13,33.27,0,4/11/2022,4/11/2022
MITK,Mitek,sell,3.704208,13.38,49.57,0,4/11/2022,4/11/2022
SQ,Block,sell,1,119.68,119.68,0,4/11/2022,4/11/2022
U,Unity Software,sell,0.632689,87.45,55.33,0,4/11/2022,4/11/2022
PI,Impinj,sell,2.482993,50.38,125.09,0,4/11/2022,4/11/2022
AXON,Axon,sell,1.076385,125.26,134.83,0,4/11/2022,4/11/2022
SYNA,Synaptics,sell,0.777397,163.49,127.1,0,4/11/2022,4/11/2022
AMPH,Amphastar Pharmaceuticals,buy,2.354071,42.48,100,0,4/11/2022,4/11/2022
APA,APA Corporation,buy,2.416726,41.38,100,0,4/11/2022,4/11/2022
HAL,Halliburton,buy,2.548095,39.25,100,0,4/11/2022,4/11/2022
HAL,Halliburton,buy,0.510529,39.18,20,0,4/11/2022,4/11/2022
HES,Hess,buy,0.893368,111.94,100,0,4/11/2022,4/11/2022
HES,Hess,buy,0.107066,112.08,12,0,4/11/2022,4/11/2022
HZNP,Horizon Therapeutics,buy,1,113.34,113.34,0,4/11/2022,4/11/2022
ABC,AmerisourceBergen,buy,1,165.24,165.24,0,4/11/2022,4/11/2022
EW,Edwards Lifesciences,buy,1,120.91,120.91,0,4/11/2022,4/11/2022
CVX,Chevron,buy,1,168.32,168.32,0,4/11/2022,4/11/2022
WMT,Walmart,buy,1,156.54,156.54,0,4/11/2022,4/11/2022
LPLA,LPL Financial,buy,1,197.69,197.69,0,4/11/2022,4/11/2022
UNH,UnitedHealth,buy,0.184189,542.92,100,0,4/11/2022,4/11/2022
AMPH,Amphastar Pharmaceuticals,buy,0.711237,42.18,30,0,4/11/2022,4/11/2022
OXY,Occidental Petroleum,buy,1,58.18,58.18,0,4/11/2022,4/11/2022
IPI,Intrepid Potash,buy,1,100.92,100.92,0,4/11/2022,4/11/2022
MTDR,Matador Resources,buy,1,55.9,55.9,0,4/12/2022,4/12/2022
NVDA,NVIDIA,sell,1,220.3,220.3,0,4/12/2022,4/12/2022
MRVL,Marvell Technology,sell,1.96605,61.75,121.41,0,4/12/2022,4/12/2022
NVDA,NVIDIA,sell,0.461057,219.32,101.12,0,4/12/2022,4/12/2022
AMD,AMD,sell,1.90758,97.59,186.16,0,4/12/2022,4/12/2022
CRM,Salesforce,sell,0.487666,198.5,96.8,0,4/12/2022,4/12/2022
BLK,BlackRock,sell,0.05469,729.93,39.92,0,4/12/2022,4/12/2022
TRMB,Trimble,sell,1.120487,71.86,80.52,0,4/12/2022,4/12/2022
PAYC,Paycom,sell,0.179928,325.46,58.56,0,4/12/2022,4/12/2022
BILL,Bill.com,sell,0.299222,211.52,63.29,0,4/12/2022,4/12/2022
ACN,Accenture,sell,0.51144,333.47,170.55,0,4/12/2022,4/12/2022
ZTS,Zoetis,sell,0.448917,191.57,86,0,4/12/2022,4/12/2022
BX,Blackstone,sell,0.830286,117.43,97.5,0,4/12/2022,4/12/2022
SHEL,Shell,buy,2,56.44,112.87,0,4/12/2022,4/12/2022
FMC,FMC,buy,1,138.08,138.08,0,4/12/2022,4/12/2022
REGN,Regeneron,buy,0.209282,716.74,150,0,4/12/2022,4/12/2022
AMTB,Amerant Bancorp,sell,8.241162,28.73,236.73,0,4/12/2022,4/12/2022
SHEL,Shell,buy,1,56.25,56.25,0,4/12/2022,4/12/2022
OXY,Occidental Petroleum,sell,1,59.5,59.5,0,4/11/2022,4/12/2022
IPI,Intrepid Potash,sell,1,104.76,104.76,0,4/12/2022,4/13/2022
T,AT&T,sell,4.166666,19.2,80.02,0,4/13/2022,4/13/2022
TSLA,Tesla,buy,0.201523,992.44,200,0,4/14/2022,4/14/2022
TSM,Taiwan Semiconductor Manufacturing,buy,1,99.22,99.22,0,4/14/2022,4/14/2022
CHKP,Check Point Software Technologies,buy,1,142.6,142.6,0,4/14/2022,4/14/2022
SHEL,Shell,buy,1,57.25,57.25,0,4/17/2022,4/18/2022
RJF,Raymond James,buy,1,110.67,110.67,0,4/17/2022,4/18/2022
AMPH,Amphastar Pharmaceuticals,sell,2,40,80,0,4/11/2022,4/18/2022
RTX,Raytheon Technologies,buy,1,104.21,104.21,0,4/17/2022,4/18/2022
TSLA,Tesla,buy,0.101092,989.2,100,0,4/17/2022,4/18/2022
WBD,Warner Bros. Discovery,sell,1,23.55,23.55,0,4/18/2022,4/18/2022
NVO,Novo Nordisk,buy,1,114.94,114.94,0,4/19/2022,4/19/2022
DDOG,Datadog,sell,0.215796,137.58,29.69,0,4/19/2022,4/19/2022
LPLA,LPL Financial,sell,1,218.5,218.5,0,4/17/2022,4/19/2022
UBS,UBS,sell,4,17.81,71.24,0,4/19/2022,4/19/2022
UBS,UBS,sell,0.197072,18.06,3.56,0,4/19/2022,4/20/2022
HAL,Halliburton,sell,2,40.47,80.94,0,4/11/2022,4/20/2022
SPLK,Splunk,sell,1,134.81,134.81,0,4/19/2022,4/20/2022
HES,Hess,sell,1,113.92,113.92,0,4/19/2022,4/20/2022
INTC,Intel,sell,1,47.92,47.92,0,4/19/2022,4/21/2022
APA,APA Corporation,sell,1,42.95,42.95,0,4/19/2022,4/21/2022
XOM,Exxon Mobil,sell,2,87.1,174.2,0,4/19/2022,4/21/2022
FMC,FMC,sell,1,135.67,135.67,0,4/19/2022,4/22/2022
TSCO,Tractor Supply,sell,1,214.65,214.65,0,4/19/2022,4/22/2022
AMPH,Amphastar Pharmaceuticals,sell,1,37.92,37.92,0,4/19/2022,4/22/2022
ABC,AmerisourceBergen,sell,1,158.79,158.79,0,4/19/2022,4/22/2022
AMPH,Amphastar Pharmaceuticals,sell,0.065308,37.36,2.44,0,4/22/2022,4/22/2022
MKC,McCormick,sell,1,101.92,101.92,0,4/19/2022,4/25/2022
TSLA,Tesla,buy,0.201565,992.24,200,0,4/25/2022,4/25/2022
NVO,Novo Nordisk,buy,1,111.65,111.65,0,4/25/2022,4/25/2022
APA,APA Corporation,sell,0.416726,37.27,15.53,0,4/25/2022,4/25/2022
APA,APA Corporation,sell,1,37.65,37.65,0,4/25/2022,4/25/2022
FANG,Diamondback Energy,buy,0.284514,121.82,34.66,0,4/25/2022,4/25/2022
MTDR,Matador Resources,sell,2,48.36,96.72,0,4/25/2022,4/25/2022
PXD,Pioneer Natural Resources,buy,1,230.99,230.99,0,4/25/2022,4/25/2022
TSM,Taiwan Semiconductor Manufacturing,sell,1,94.76,94.76,0,4/25/2022,4/26/2022
SHEL,Shell,sell,2,53.12,106.24,0,4/25/2022,4/26/2022
RTX,Raytheon Technologies,sell,1,97.07,97.07,0,4/25/2022,4/26/2022
HAL,Halliburton,sell,1,35.21,35.21,0,4/25/2022,4/26/2022
SHEL,Shell,sell,2,52.99,105.98,0,4/25/2022,4/26/2022
RJF,Raymond James,sell,1,102.07,102.07,0,4/25/2022,4/26/2022
DVN,Devon Energy,sell,1,56.63,56.63,0,4/25/2022,4/26/2022
MTDR,Matador Resources,sell,1,50.91,50.91,0,4/25/2022,4/26/2022
HZNP,Horizon Therapeutics,sell,1,105.58,105.58,0,4/25/2022,4/26/2022
EW,Edwards Lifesciences,sell,1,117.5,117.5,0,4/25/2022,4/26/2022
FANG,Diamondback Energy,sell,1,125.55,125.55,0,4/25/2022,4/26/2022
CHKP,Check Point Software Technologies,sell,1,136.11,136.11,0,4/25/2022,4/26/2022
WMT,Walmart,sell,1,154.96,154.96,0,4/25/2022,4/27/2022
NVO,Novo Nordisk,sell,2,107.96,215.92,0,4/25/2022,4/28/2022
TSLA,Tesla,buy,0.12055,829.53,100,0,4/28/2022,4/28/2022
TGT,Target,buy,0.3,233.83,70.15,0,4/28/2022,4/28/2022
EOG,EOG Resources,buy,2,113.82,227.64,0,4/28/2022,4/28/2022
PFE,Pfizer,buy,3,49.99,149.97,0,4/28/2022,4/28/2022
MOS,Mosaic Co.,buy,2,65.03,130.05,0,4/28/2022,4/28/2022
APA,APA Corporation,buy,3,40.73,122.19,0,4/28/2022,4/28/2022
CVX,Chevron,buy,1,160.54,160.54,0,4/28/2022,4/28/2022
INTC,Intel,sell,0.051989,46.74,2.43,0,4/28/2022,4/28/2022
OXY,Occidental Petroleum,buy,3,56.64,169.92,0,4/28/2022,4/28/2022
ISRG,Intuitive Surgical,sell,0.205321,243.52,50,0,4/28/2022,4/28/2022
ZI,ZoomInfo Technologies,sell,1.074684,49.54,53.24,0,4/28/2022,4/28/2022
LITE,Lumentum,sell,0.505254,83.05,41.96,0,4/28/2022,4/28/2022
HES,Hess,sell,0.000434,115.21,0.05,0,4/28/2022,4/28/2022
MKC,McCormick,buy,0.19166,103.62,19.86,0,4/28/2022,4/28/2022
TSCO,Tractor Supply,sell,0.330032,209.4,69.11,0,4/28/2022,4/28/2022
MTDR,Matador Resources,sell,0.692219,50.59,35.02,0,4/28/2022,4/28/2022
SPLK,Splunk,sell,0.368882,127.01,46.85,0,4/28/2022,4/28/2022
TSLA,Tesla,buy,0.055964,893.43,50,0,4/28/2022,4/28/2022
AMZN,Amazon,buy,0.019157,2610.01,50,0,4/28/2022,4/28/2022
MOS,Mosaic Co.,sell,2,65.06,130.12,0,4/28/2022,4/29/2022
CVX,Chevron,sell,1,158.08,158.08,0,4/27/2022,4/29/2022
TQQQ,ProShares UltraPro QQQ,buy,2,36.57,73.14,0,4/29/2022,4/29/2022
TQQQ,ProShares UltraPro QQQ,sell,2,36.6,73.2,0,4/29/2022,4/29/2022
AMZN,Amazon,buy,0.040294,2481.76,100,0,5/3/2022,5/3/2022
AMZN,Amazon,buy,0.020012,2498.5,50,0,5/3/2022,5/3/2022
TQQQ,ProShares UltraPro QQQ,buy,3,38.36,115.07,0,5/4/2022,5/4/2022
TQQQ,ProShares UltraPro QQQ,sell,3,37.85,113.55,0,5/4/2022,5/4/2022
TQQQ,ProShares UltraPro QQQ,buy,3,40.7,122.1,0,5/4/2022,5/4/2022
TQQQ,ProShares UltraPro QQQ,sell,3,37.98,113.93,0,5/5/2022,5/5/2022
HES,Hess,buy,3,108.07,324.21,0,5/9/2022,5/9/2022
ACLS,Axcelis Technologies,buy,3,56.96,170.88,0,5/9/2022,5/10/2022
CVX,Chevron,buy,1,162.45,162.45,0,5/9/2022,5/10/2022
REGN,Regeneron,sell,0.209282,615.34,128.78,0,5/10/2022,5/10/2022
HAL,Halliburton,sell,0.058624,34.63,2.03,0,5/10/2022,5/10/2022
UNH,UnitedHealth,sell,0.184189,483.69,89.09,0,5/10/2022,5/10/2022
ACLS,Axcelis Technologies,sell,3,53.7,161.09,0,5/10/2022,5/10/2022
XOM,Exxon Mobil,sell,0.420584,88.19,37.09,0,5/11/2022,5/11/2022
DVN,Devon Energy,sell,0.632399,67.43,42.64,0,5/11/2022,5/11/2022
TTD,Trade Desk,buy,3,48.98,146.94,0,5/11/2022,5/13/2022
TTD,Trade Desk,buy,4,51.42,205.68,0,5/11/2022,5/13/2022
CVX,Chevron,buy,2,174.74,349.48,0,4/19/2022,5/16/2022
TWI,Titan International,buy,5,17.38,86.9,0,5/16/2022,5/16/2022
TWI,Titan International,buy,6,17.2,103.2,0,5/16/2022,5/16/2022
OXY,Occidental Petroleum,sell,2,66.41,132.82,0,5/12/2022,5/18/2022
EOG,EOG Resources,sell,2,123.89,247.78,0,5/12/2022,5/18/2022
HES,Hess,sell,1,114.65,114.65,0,5/16/2022,5/18/2022
HES,Hess,sell,1,113.41,113.41,0,5/16/2022,5/18/2022
PXD,Pioneer Natural Resources,sell,1,268.51,268.51,0,5/11/2022,5/18/2022
PFE,Pfizer,sell,1,49.98,49.98,0,5/12/2022,5/19/2022
TGT,Target,buy,0.323519,154.55,50,0,5/19/2022,5/19/2022
OXY,Occidental Petroleum,buy,2,65.05,130.1,0,5/19/2022,5/19/2022
HES,Hess,buy,1,115.36,115.36,0,5/19/2022,5/19/2022
OXY,Occidental Petroleum,buy,2,65.39,130.78,0,5/19/2022,5/19/2022
TSLA,Tesla,sell,0.06962,718.18,50,0,5/20/2022,5/20/2022
TSLA,Tesla,sell,0.097449,718.32,70,0,5/20/2022,5/20/2022
LPLA,LPL Financial,buy,1,179.35,179.35,0,5/19/2022,5/20/2022
OXY,Occidental Petroleum,sell,1,63.1,63.1,0,5/18/2022,5/20/2022
AMTB,Amerant Bancorp,buy,4,28.71,114.84,0,5/19/2022,5/20/2022
OXY,Occidental Petroleum,buy,2,63.09,126.18,0,5/20/2022,5/20/2022
